Source_System,Customer_ID,First_Name,Last_Name,Email,Mobile,DOB,Frequent_Flier_No
SRC3,SRC3_30000,Arjun,Singh,arjun.singh30000@gmail.com,9494009507,1998-10-01,FF7521
SRC3,SRC3_30001,Amit,Patel,amit.patel30001@gmail.com,9221814525,1986-03-13,FF1424
SRC3,SRC3_30002,Vikram,Gupta,vikram.gupta30002@gmail.com,9515524530,1998-03-23,FF2929
SRC3,SRC3_30003,Rohit,Patel,rohit.patel30003@gmail.com,9579182105,2006-07-31,FF4515
SRC3,SRC3_30004,Arjun,Patel,arjun.patel30004@gmail.com,9627422192,2006-02-17,FF4279
SRC3,SRC3_30005,Anita,Singh,anita.singh30005@gmail.com,9585377142,1978-04-28,FF3828
SRC3,SRC3_30006,Karan,Iyer,karan.iyer30006@gmail.com,9443154754,2005-08-03,FF6692
SRC3,SRC3_30007,Anita,Nair,anita.nair30007@gmail.com,9411774120,1999-04-27,FF5914
SRC3,SRC3_30008,Vikram,Singh,vikram.singh30008@gmail.com,9646272321,1991-03-20,FF4673
SRC3,SRC3_30009,Anita,Mehta,anita.mehta30009@gmail.com,9354193540,1981-03-25,FF9094
SRC3,SRC3_30010,Rahul,Kulkarni,rahul.kulkarni30010@gmail.com,9714478186,1999-11-08,FF7044
SRC3,SRC3_30011,Karan,Nair,karan.nair30011@gmail.com,9757074545,1980-10-27,FF2412
SRC3,SRC3_30012,Anita,Patel,anita.patel30012@gmail.com,9869801588,1992-11-10,FF8842
SRC3,SRC3_30013,Sneha,Reddy,sneha.reddy30013@gmail.com,9984053945,1993-05-14,FF2208
SRC3,SRC3_30014,Vikram,Kulkarni,vikram.kulkarni30014@gmail.com,9179634081,2003-10-25,FF8372
SRC3,SRC3_30015,Karan,Nair,karan.nair30015@gmail.com,9237798236,1990-06-15,FF3981
SRC3,SRC3_30016,Vikram,Reddy,vikram.reddy30016@gmail.com,9159499094,1997-07-22,FF3034
SRC3,SRC3_30017,Sneha,Singh,sneha.singh30017@gmail.com,9276799196,1988-08-22,FF3653
SRC3,SRC3_30018,Amit,Mehta,amit.mehta30018@gmail.com,9657162259,1990-07-10,FF5653
SRC3,SRC3_30019,Anita,Patel,anita.patel30019@gmail.com,9781887358,1983-10-22,FF5496
SRC3,SRC3_30020,Vikram,Patel,vikram.patel30020@gmail.com,9672817675,2002-07-24,FF2530
SRC3,SRC3_30021,Sneha,Singh,sneha.singh30021@gmail.com,9723464439,2001-07-19,FF3526
SRC3,SRC3_30022,Vikram,Das,vikram.das30022@gmail.com,9749762955,2007-04-29,FF6531
SRC3,SRC3_30023,Arjun,Sharma,arjun.sharma30023@gmail.com,9187212377,1976-04-09,FF1744
